,Rank,School,State,Score,Year,8-Event,10-Event
93,94,Grant High School,California,39521.1,2014,,
94,95,Torrance High School,California,39509.2,2014,,
95,96,Shawnee Mission South High School,Kansas,39440.7,2014,,
96,97,West Windsor-Plainsboro High School South,New Jersey,39411.8,2014,,
97,98,Barbers Hill High School,Texas,39292,2014,,
98,99,Creekview High School,Texas,39192.5,2014,,
99,100,Summit High School,Texas,39000.5,2014,,
100,101,El Paso Coronado High School,Texas,38994.2,2014,,
101,102,North Hollywood High School,California,38962.8,2014,,
102,103,Oxnard High School,California,38847.1,2014,,
103,104,Moorpark High School,California,38824.6,2014,,
104,105,Lathrop High School,Alaska,38786.2,2014,,
105,106,Kamehameha Schools Hawai'i Campus,Hawai'i,38647,2014,,
106,107,Centennial High School,Idaho,38596.8,2014,,
107,108,Indian Hills High School,New Jersey,38458.9,2014,,
108,109,Plano Senior High School,Texas,38447.6,2014,,
109,110,Hilo High School,Hawaii,38392.4,2014,,
110,111,St. Helena High School,California,38261.5,2014,,
111,112,South Garland High School,Texas,38045.5,2014,,
112,113,Bishop Hendricken High School,Rhode Island,37969.7,2014,,
113,114,The Colony High School,Texas,37950.6,2014,,
114,115,Stockdale High School,California,37912,2014,,
115,116,West Valley High School,Alaska,37906.4,2014,,
116,117,Klein Collins High School,Texas,37887.9,2014,,
117,118,John Paul Stevens High School,Texas,37878.2,2014,,
118,119,Cesar Chavez High School,Arizona,37844.6,2014,,
119,120,Buena High School,Arizona,37573.7,2014,,
120,121,Flower Mound High School,Texas,37412.5,2014,,
121,122,Klein High School,Texas,37061,2014,,
122,123,Garland High School,Texas,36962.2,2014,,
123,124,Earl Warren High School,Texas,36881.8,2014,,
124,125,Bingham High School,Utah,36725,2014,,
125,126,Campo Verde High School,Arizona,36719.3,2014,,
126,127,Lubbock Coronado High School,Texas,36515.8,2014,,
127,128,Keller High School,Texas,36503,2014,,
128,129,Moniteau High School,Pennsylvania,36246.5,2014,,
129,130,Sam Champion High School,Texas,36095.6,2014,,
130,131,Seton Catholic High School,Arizona,36042.9,2014,,
131,132,Souderton Area High School,Pennsylvania,35982.2,2014,,
132,133,Dreher High School,South Carolina,35970,2014,,
133,134,Rutherford High School,New Jersey,35898.7,2014,,
134,135,Watertown High School,Wisconsin,35868,2014,,
135,136,Wheatland High School,Wyoming,35646,2014,,
136,137,Berkmar High School,Georgia,35586.2,2014,,
137,138,Alhambra High School,Arizona,35404.2,2014,,
138,139,Tracy High School,California,35372.6,2014,,
139,140,Taylor High School,Texas,35318.1,2014,,
140,141,Clarion-Limestone High School,Pennsylvania,35239.6,2014,,
141,142,Lake Crystal Wellcome Memorial High School,Minnesota,35233,2014,,
142,143,Sun Prairie High School,Wisconsin,35161.3,2014,,
143,144,Wellesley High School,Massachusetts,"35,017.4[1]",2014,,
144,145,Roseville High School,California,34962.7,2014,,
145,146,Lowell High School,Indiana,34908,2014,,
146,147,Marana High School,Arizona,34759.4,2014,,
147,148,BASIS Chandler,Arizona,34706.5,2014,,
148,149,Parkview High School,Georgia,34702.8,2014,,
149,150,South Central Calhoun High School,Iowa,34661.1,2014,,
150,151,Erie Catholic Preparatory School,Pennsylvania,34615.3,2014,,
151,152,Ponderosa High School,California,34610.8,2014,,
152,153,Merced High School,California,34604.8,2014,,
153,154,St. Pius X High School,New Mexico,"34,600[3]",2014,,
154,155,Northwestern High School,Pennsylvania,34586,2014,,
155,156,Interior Distance Education of Alaska,Alaska,34550.2,2014,,
156,157,Penns Valley High School,Pennsylvania,34512,2014,,
157,158,Cazenovia High School,New York,34473,2014,,
158,159,BASIS Peoria,Arizona,34465.8,2014,,
159,160,Mountain View Marana,Arizona,34459.4,2014,,
160,161,Park City High School,Utah,34451,2014,,
161,162,Lakeview-Fort Oglethorpe High School,Georgia,34418.6,2014,,
162,163,Summerville High School,California,34403.4,2014,,
163,164,North Clarion High School,Pennsylvania,34074.5,2014,,
164,165,Monmouth Academy,Maine,34056,2014,,
165,166,Iowa City West High School,Iowa,34032.4,2014,,
166,167,Benson High School,Arizona,33714.2,2014,,
167,168,Juneau-Douglas High School,Alaska,33702,2014,,
168,169,Bangor High School,Maine,33637,2014,,
169,170,Kingman Academy of Learning,Arizona,33624.7,2014,,
170,171,Melrose-Mindoro High School,Wisconsin,33464,2014,,
171,172,South Mountain High School,Arizona,33458.6,2014,,
172,173,Sandpoint High School,Idaho,33349,2014,,
173,174,Mountain Ridge High School,Arizona,33323.5,2014,,
174,175,East Greenwich High School,Rhode Island,33284.8,2014,,
175,176,Townview High School,Texas,33094.4,2014,,
176,177,Crown Point High School,Indiana,32882,2014,,
177,178,Talkington High School,Texas,32814.3,2014,,
178,179,Dobson High School,Arizona,32810.2,2014,,
179,180,The Wheeler School,Rhode Island,32763.6,2014,,
180,181,Sugar-Salem High School,Idaho,32759,2014,,
181,182,Parsippany Hills High School,New Jersey,32747.1,2014,,
182,183,Vail Christian High School,Colorado,32594.7,2014,,
183,184,Dublin High School,California,32584.3,2014,,
184,185,Prescott High School,Arizona,32505,2014,,
185,186,Marcos de Niza High School,Arizona,32495.6,2014,,
186,187,Skyline High School,Arizona,32461.2,2014,,
187,188,Cedar Rapids Kennedy High School,Iowa,32180.5,2014,,
188,189,Highland High School,Arizona,32103.9,2014,,
189,190,Ashland High School,Massachusetts,"31,965.1[1]",2014,,
190,191,Flowing Wells High School,Arizona,31908.4,2014,,
191,192,Maryvale High School,Arizona,31898.6,2014,,
192,193,Higley High School,Arizona,31886.7,2014,,
193,194,Trevor Browne High School,Arizona,31746.9,2014,,
194,195,Southwest High School,California,31648.6,2014,,
195,196,Lemoore Middle College High School,California,31635.2,2014,,
196,197,Lake Catholic High School,Ohio,31545,2014,,
197,198,Frontier Academy,Colorado,31420,2014,,
198,199,Mountain Oaks Charter High School,California,31348.6,2014,,
199,200,Ysleta High School,Texas,31332.8,2014,,
200,201,Preston High School,Idaho,31268,2014,,
201,202,Payson High School,Arizona,31256,2014,,
202,203,Harmony Magnet Academy,California,31164.8,2014,,
203,204,Cole High School,Texas,30999.7,2014,,
204,205,Gilroy Early College Academy,California,30999.4,2014,,
205,206,New Fairfied High School,Connecticut,30844,2014,,
206,207,Reitz Memorial High School,Indiana,30816,2014,,
207,208,Adel-Desoto-Minburn High School,Iowa,30733.2,2014,,
208,209,Mill Creek High School,Georgia,30511.3,2014,,
209,210,Gretna High School,Nebraska,30477,2014,,
210,211,Chattahoochee County High School,Georgia,30452,2014,,
211,212,Sunnyside High School,Arizona,30250.7,2014,,
212,213,Cibola High School,Arizona,30148.3,2014,,
213,214,Duchesne High School,Utah,30114,2014,,
214,215,Gila Ridge High School,Arizona,30047.1,2014,,
216,,Grundy Center High School,Iowa,29623.8,2014,,
217,,Oak Hill High School,Maine,29524,2014,,
218,,Waldwick High School,New Jersey,29318.4,2014,,
219,,Haywood High School,Tennessee,29156,2014,,
220,,Xavier High School,Idaho,28761,2014,,
221,,University Academy,Missouri,28652,2014,,
222,,Youngstown Christian School,Ohio,27950,2014,,
223,,Lyndonville High School,New York,27412,2014,,
224,,John Glenn High School,Indiana,27165,2014,,
225,,Chardon High School,Ohio,27147,2014,,
226,,Pepperell High School,Georgia,26992.7,2014,,
227,,Worthington High School,Minnesota,24585.2,2014,,
228,,Lawton High School,Oklahoma,20149,2014,,
0,1,Granada Hills Charter High School,California,54165.3,2015,,
1,2,El Camino Real Charter High School,California,53346.2,2015,,
2,3,South Pasadena High School,California,50792.9,2015,,
3,4,Pearland High School,Texas,50294.1,2015,,
4,5,Marshall High School,California,50163.9,2015,,
5,6,Highland Park High School,Texas,50000.3,2015,,
6,7,Friendswood High School,Texas,49974,2015,,
7,8,Coppell High School,Texas,48978.4,2015,,
8,9,Franklin High School,California,48803.8,2015,,
9,10,Oakwood High School,Ohio,48360.4,2015,,
10,11,Nimitz High School,Texas,47487.7,2015,,
11,12,Rockwall-Heath High School,Texas,47394,2015,,
12,13,J. Frank Dobie High School,Texas,47383.7,2015,,
13,14,Garfield High School,California,47063.7,2015,,
14,15,Beverly Hills High School,California,47011.2,2015,,
15,16,Whitney M. Young Magnet High School,Illinois,46983.4,2015,,
16,17,Woodbridge High School,California,46724.7,2015,,
17,18,James E. Taylor High School,Texas,46589.7,2015,,
18,19,Canyon del Oro High School,Arizona,46340.7,2015,,
19,20,Chaffey High School,California,45979.6,2015,,
20,21,University High School,California,45963.5,2015,,
21,22,Westminster High School,California,45872.1,2015,,
22,23,Mark Keppel High School,California,45810.8,2015,,
23,24,Hamilton High School,California,45583.4,2015,,
24,25,Casa Grande High School,California,45509.8,2015,,
25,26,Lincoln Pius X High School,Nebraska,"45,323[1]",2015,,
26,27,Clements High School,Texas,45226.6,2015,,
27,28,Acton-Boxborough Regional High School,Massachusetts,"45,224.5[3]",2015,,
28,29,Clear Lake High School,Texas,45197.1,2015,,
29,30,Dulles High School,Texas,45089,2015,,
30,31,Alice High School,Texas,45056.5,2015,,
31,32,Frisco Liberty High School,Texas,45039.4,2015,,
32,33,Bell High School,California,44918.2,2015,,
33,34,Mountain View Mesa High School,Arizona,44810.2,2015,,
34,35,Edison High School,California,44728.8,2015,,
35,36,Edward S. Marcus High School,Texas,44603.8,2015,,
36,37,Valencia High School,California,44425.9,2015,,
37,38,Seven Lakes High School,Texas,44265.8,2015,,
38,39,Westwood High School,Arizona,44173.3,2015,,
39,40,Centennial High School,Texas,44136.7,2015,,
40,41,Westlake High School,California,43960.4,2015,,
41,42,Olympian High School,California,43911.2,2015,,
42,43,Edgewood High School,California,43909,2015,,
43,44,Wakeland High School,Texas,43592.8,2015,,
44,45,Wilmot Union High School,Wisconsin,43441,2015,,
45,46,Campo Verde High School,Arizona,43389.6,2015,,
46,47,Rockwall High School,Texas,43167.9,2015,,
47,48,Mater Dei High School,California,43044.8,2015,,
48,49,Waukesha West High School,Wisconsin,43023,2015,,
49,50,West Torrance High School,California,43008.3,2015,,
50,51,West Valley High School,California,42998.7,2015,,
51,52,Omaha Central High School,Nebraska,"42,777[1]",2015,,
52,53,Madison Central High School,Mississippi,42741.5,2015,,
53,54,Bishop Alemany High School,California,42712.6,2015,,
54,55,North Penn High School,Pennsylvania,42617.6,2015,,
55,56,Plano Senior High School,Texas,42601,2015,,
56,57,Richardson High School,Texas,42506.2,2015,,
57,58,Oakdale High School,California,42472.8,2015,,
58,59,Campolindo High School,California,42457.5,2015,,
59,60,Creekview High School,Texas,42399.2,2015,,
60,61,Elsinore High School,California,42392.5,2015,,
61,62,Cedar Rapids Jefferson High School,Iowa,42321,2015,,
62,63,Lubbock High School,Texas,42288.6,2015,,
63,64,Parsippany High School,New Jersey,42247.9,2015,,
64,65,West Valley High School,Alaska,42211.2,2015,,
65,66,Red Mountain High School,Arizona,42206.4,2015,,
66,67,Van Nuys High School,California,42087.2,2015,,
67,68,Garland High School,Texas,42047.4,2015,,
68,69,Plano East Senior High School,Texas,42032.5,2015,,
69,70,Redlands High School,California,41968.2,2015,,
70,71,Barbers Hill High School,Texas,41964.9,2015,,
71,72,Hamilton High School,Arizona,41953.8,2015,,
72,73,North Hollywood High School,California,41898,2015,,
73,74,Northwest Pennsylvania Collegiate Academy,Pennsylvania,41890.7,2015,,
74,75,Shawnee Mission South High School,Kansas,41811.4,2015,,
75,76,Vanden High School,California,41726.8,2015,,
76,77,Mount Michael Benedictine High School,Nebraska,"41,580[1]",2015,,
77,78,Bishop Hendricken High School,Rhode Island,41525.9,2015,,
78,79,Arlington High School,Texas,41480.5,2015,,
79,80,Oak Park High School,California,41461.7,2015,,
80,81,Klein Collins High School,Texas,41457.1,2015,,
81,82,Heritage High School,Texas,41403,2015,,
82,83,St. Helena High School,California,41338.6,2015,,
83,84,West Windsor-Plainsboro High School North,New Jersey,41336.1,2015,,
84,85,Richard King High School,Texas,41284.2,2015,,
85,86,J. J. Pearce High School,Texas,41208.4,2015,,
86,87,Kamehameha Schools Hawai'i Campus,Hawaii,41176.1,2015,,
87,88,Alhambra High School,California,40954.9,2015,,
88,89,Penns Valley High School,Pennsylvania,40933.6,2015,,
89,90,Bella Vista High School,California,40917.9,2015,,
90,91,Hemet High School,California,40874,2015,,
91,92,Scarborough High School,Maine,40780,2015,,
92,93,Keller High School,Texas,40774.2,2015,,
93,94,Redlands East Valley High School,California,40727.8,2015,,
94,95,West Windsor-Plainsboro High School South,New Jersey,40566.3,2015,,
95,96,Albert G. Lane Technical High School,Illinois,40498.8,2015,,
96,97,Hilo High School,Hawaii,40373.1,2015,,
97,98,Dobson High School,Arizona,40341.1,2015,,
98,99,Boulder Creek High School,Arizona,40231.2,2015,,
99,100,El Paso Coronado High School,Texas,39946.1,2015,,
100,101,Stockdale High School,California,39942.6,2015,,
101,102,Clear Springs High School,Texas,39924.1,2015,,
102,103,Redondo Union High School,California,39919.2,2015,,
103,104,Burbank High School,California,39870.4,2015,,
104,105,South Garland High School,Texas,39849.6,2015,,
105,106,Folsom High School,California,39771.2,2015,,
106,107,Foster High School,Texas,39598.7,2015,,
107,108,Pleasant Grove High School,California,39548.3,2015,,
108,109,Taylor High School,Texas,39454,2015,,
109,110,Trabuco Hills High School,California,39412.8,2015,,
110,111,Monterey High School,Texas,39382.2,2015,,
111,112,Montgomery High School,Texas,39374.4,2015,,
112,113,South Torrance High School,California,39327.4,2015,,
113,114,Indian Hills High School,New Jersey,39299.1,2015,,
114,115,Madison Academic High School,Tennessee,"39,169.5[4]",2015,,
115,116,Willoughby South High School,Ohio,39138.1,2015,,
116,117,Lone Star High School,Texas,39105.5,2015,,
117,118,Mary Carroll High School,Texas,39029.3,2015,,
118,119,Juneau-Douglas High School,Alaska,38990.3,2015,,
119,120,John Paul II High School,Texas,38970.3,2015,,
120,121,Harbor Teacher Prep Academy,California,38911.6,2015,,
121,122,Lemoore Middle College High School,California,38884.9,2015,,
122,123,West Genesee High School,New York,38817,2015,,
123,124,Grant High School,California,38815.2,2015,,
124,125,Lathrop High School,Alaska,38784,2015,,
125,126,Northside College Preparatory High School,Illinois,38722.9,2015,,
126,127,Summit High School,Texas,38682.1,2015,,
127,128,Bullard High School,California,38669.6,2015,,
128,129,La Quinta High School,California,38581.5,2015,,
129,130,Cesar Chavez High School,Arizona,38345.9,2015,,
130,131,South Central Calhoun High School,Iowa,37875.4,2015,,
131,132,Northwestern High School,Pennsylvania,37475.8,2015,,
132,133,BASIS Chandler,Arizona,37453.5,2015,,
133,134,The Colony High School,Texas,37452.5,2015,,
134,135,Earl Warren High School,Texas,37196.7,2015,,
135,136,Petaluma High School,California,37183.1,2015,,
136,137,McDowell High School,Pennsylvania,37129.8,2015,,
137,138,Park City High School,Utah,36939.4,2015,,
138,139,Renaissance High School,Idaho,36853.1,2015,,
139,140,Sam Champion High School,Texas,36562.8,2015,,
140,141,Clarion-Limestone High School,Pennsylvania,36505.4,2015,,
141,142,Legacy High School,Texas,36276,2015,,
142,143,Parkview High School,Georgia,36255.2,2015,,
143,144,Marana High School,Arizona,36239,2015,,
144,145,Dreher High School,South Carolina,36180,2015,,
145,146,Cibola High School,Arizona,36163,2015,,
146,147,Merced High School,California,36120.5,2015,,
147,148,Mountain Oaks Charter School,California,36100.1,2015,,
148,149,Johnston High School,Iowa,35943.4,2015,,
149,150,Ponderosa High School,California,35737.2,2015,,
150,151,Cedar Rapids Kennedy High School,Iowa,35734.5,2015,,
151,152,Souderton Area High School,Pennsylvania,35625.1,2015,,
152,153,BASIS Peoria,Arizona,35614.5,2015,,
153,154,Buena High School,Arizona,35577.3,2015,,
154,155,Deer Valley High School,Arizona,35271.7,2015,,
155,156,Mountain View Marana High School,Arizona,35255.6,2015,,
156,157,St. Peter High School,Minnesota,34895.4,2015,,
157,158,Manteca High School,California,34782.1,2015,,
158,159,Summerville High School,California,34663.8,2015,,
159,160,Talkington High School,Texas,34583.7,2015,,
160,161,Interior Distance Education of Alaska,Alaska,34547.2,2015,,
161,162,Moniteau High School,Pennsylvania,34514.9,2015,,
162,163,Iowa City West High School,Iowa,34358.6,2015,,
163,164,Adel-Desoto-Minburn High School,Iowa,34339.5,2015,,
164,165,Hanover Park High School,New Jersey,34315.4,2015,,
165,166,Townview School for Science & Engineering,Texas,34246.9,2015,,
166,167,Highland High School,Arizona,34177.3,2015,,
167,168,Tuloso-Midway High School,Texas,34117.7,2015,,
168,169,Seton Catholic High School,Arizona,34009.2,2015,,
169,170,Grundy Center-Dike-New Hartford High School,Iowa,33933.7,2015,,
170,171,El Paso High School,Texas,33931,2015,,
171,172,Reitz Memorial High School,Indiana,33847,2015,,
172,173,Wellesley High School,Massachusetts,"33,526.1[3]",2015,,
173,174,Hackensack High School,New Jersey,33518.7,2015,,
174,175,Maryvale High School,Arizona,33333.8,2015,,
175,176,Alhambra High School,Arizona,33291.2,2015,,
176,177,Monmouth Academy,Maine,33176,2015,,
177,178,Kingman Academy of Learning,Arizona,33118.1,2015,,
178,179,Higley High School,Arizona,33015.4,2015,,
179,180,Austin Preparatory High School,Massachusetts,"32,837.7[3]",2015,,
180,181,Clear Lake High School,California,32739.2,2015,,
181,182,Iowa Falls-Alden High School,Iowa,32609.9,2015,,
182,183,Marysville High School,California,32581.2,2015,,
183,184,Gila Ridge High School,Arizona,32567.6,2015,,
184,185,Vail Christian High School,Colorado,32512.2,2015,,
185,186,Roseville High School,California,32421.1,2015,,
186,187,Ramapo High School,New Jersey,32187.8,2015,,
187,188,Thomas S. Wootton High School,Maryland,32174.2,2015,,
188,189,Bangor High School,Maine,32010,2015,,
189,190,Gilbert Classical Academy,Arizona,31621.4,2015,,
190,191,Wheatland High School,Wyoming,31608.1,2015,,
191,192,Bandera High School,Texas,31597.9,2015,,
192,193,Flowing Wells High School,Arizona,31503.3,2015,,
193,194,Ashland High School,Massachusetts,"31,502.0[3]",2015,,
194,195,El Diamante High School,California,31406.4,2015,,
195,196,Lake Catholic High School,Ohio,31199.8,2015,,
196,197,Prescott High School,Arizona,31080.8,2015,,
197,198,Libertyville High School,Illinois,31067.9,2015,,
198,199,Chicago High School for Agricultural Sciences,Illinois,31060.8,2015,,
199,200,Valdez High School,Alaska,31027.6,2015,,
200,201,Von Steuben High School,Illinois,30968.4,2015,,
201,202,Rutherford High School,New Jersey,30860.8,2015,,
202,203,Gilroy Early College Academy,California,30720.8,2015,,
203,204,Clifton High School,New Jersey,30701.8,2015,,
204,205,Parsippany Hills High School,New Jersey,30672.8,2015,,
205,206,Craig High School,Alaska,30672.5,2015,,
206,207,North Clarion High School,Pennsylvania,30642.8,2015,,
207,208,Natick High School,Massachusetts,"30,637.9[3]",2015,,
208,209,Sam Houston High School,Texas,30633.5,2015,,
209,210,Kinnelon High School,New Jersey,30601.4,2015,,
210,211,Snowflake High School,Arizona,30524.5,2015,,
211,212,Union High School,Iowa,30514.3,2015,,
212,213,Westwood High School,Massachusetts,"30,456.5[3]",2015,,
213,214,Donovan Catholic High School,New Jersey,30381.7,2015,,
214,215,Hall-Dale High School,Maine,30219,2015,,
215,216,Mountain Ridge High School,Arizona,30217,2015,,
216,217,Monroe Catholic High School,Alaska,30189.1,2015,,
217,218,Stephen Tyng Mather High School,Illinois,30078.5,2015,,
218,219,Dowling Catholic High School,Iowa,30075.2,2015,,
0,1,Granada Hills Charter High School,California,55749.6,2016,,
1,2,Franklin High School,California,54183.3,2016,,
2,3,El Camino Real Charter High School,California,53854.5,2016,,
3,4,Marshall High School,California,53824.1,2016,,
4,5,Highland Park High School,Texas,52401.3,2016,,
5,6,Coppell High School,Texas,52179.3,2016,,
6,7,Rockwall High School,Texas,52174.4,2016,,
7,8,South Pasadena High School,California,52045.7,2016,,
8,9,Edgewood High School,California,50411.3,2016,,
9,10,Alice High School,Texas,50292.5,2016,,
10,11,Pearland High School,Texas,50177.5,2016,,
11,12,Rockwall-Heath High School,Texas,50101.5,2016,,
12,13,Oakwood High School,Ohio,49787.7,2016,,
13,14,Dulles High School,Texas,49636.7,2016,,
14,15,Wakeland High School,Texas,49107.7,2016,,
15,16,Friendswood High School,Texas,48875.1,2016,,
16,17,Garfield High School,California,48615.2,2016,,
17,18,Acton-Boxborough Regional High School,Massachusetts,48345.1,2016,,
18,19,Canyon High School,California,48233.8,2016,,
19,20,West Torrance High School,California,48204.1,2016,,
20,21,Canyon del Oro High School,Arizona,47910.2,2016,,
21,22,Seven Lakes High School,Texas,47862.2,2016,,
22,23,University High School,California,47789.2,2016,,
23,24,Whitney M. Young Magnet High School,Illinois,47667.7,2016,,
24,25,Wilmot Union High School,Wisconsin,"47,502.3[3]",2016,,
25,26,Lubbock High School,Texas,47498.6,2016,,
26,27,James E. Taylor High School,Texas,47442.1,2016,,
27,28,Chaffey High School,California,47236.9,2016,,
28,29,Plano East Senior High School,Texas,47190.3,2016,,
29,30,Casa Grande High School,California,46988,2016,,
30,31,Beverly Hills High School,California,46914.4,2016,,
31,32,Mark Keppel High School,California,46807,2016,,
32,33,Bell High School,California,46738.8,2016,,
33,34,Van Nuys High School,California,46736.4,2016,,
34,35,Nimitz High School,Texas,46619.8,2016,,
35,36,Centennial High School,Texas,46565.8,2016,,
36,37,Valencia High School,California,46353,2016,,
37,38,Woodbridge High School,California,46249.2,2016,,
38,39,Hamilton High School,Arizona,45956.8,2016,,
39,40,Burbank High School,California,45927.7,2016,,
40,41,Folsom High School,California,45874.5,2016,,
41,42,Morton Ranch High School,Texas,45747.2,2016,,
42,43,J. Frank Dobie High School,Texas,45648.2,2016,,
43,44,Waukesha West High School,Wisconsin,"45,504.5[3]",2016,,
44,45,Little Elm High School,Texas,45422.7,2016,,
45,46,Lemoore Middle College High School,California,45377.8,2016,,
46,47,Barbers Hill High School,Texas,45373.5,2016,,
47,48,Campolindo High School,California,45291.3,2016,,
48,49,Clements High School,Texas,45281.2,2016,,
49,50,Stockdale High School,California,45140.6,2016,,
50,51,Frisco Liberty High School,Texas,45132.9,2016,,
51,52,Clear Lake High School,Texas,45077.9,2016,,
52,53,Klein High School,Texas,45059.1,2016,,
53,54,Monterey High School,Texas,44968.7,2016,,
54,55,Foster High School,Texas,44955,2016,,
55,56,Edward S. Marcus High School,Texas,44837.9,2016,,
56,57,J. J. Pearce High School,Texas,44814.4,2016,,
57,58,Lincoln Pius X High School,Nebraska,"44,812[1]",2016,,
58,59,Mountain View Mesa High School,Arizona,44808.4,2016,,
59,60,Alhambra High School,California,44804.6,2016,,
60,61,Redlands High School,California,44705.7,2016,,
61,62,Bella Vista High School,California,44687.3,2016,,
62,63,Keller High School,Texas,44649.2,2016,,
63,64,Bishop Hendricken High School,Rhode Island,44591.6,2016,,
64,65,Cesar Chavez High School,Arizona,44478.8,2016,,
65,66,St. Helena High School,California,44450.6,2016,,
66,67,Oakdale High School,California,44427.2,2016,,
67,68,Summit High School,Texas,44417.9,2016,,
68,69,Lone Star High School,Texas,44210.7,2016,,
69,70,Northwest Pennsylvania Collegiate Academy,Pennsylvania,44135.3,2016,,
